n_friend_index,n_friend_name,n
320,17nh_0404750,5
321,17nh_0407842,4
321,17nh_0407842,5
323,17nh_0415443,4
323,17nh_0415443,5
324,17nh_0432489,4
324,17nh_0432489,5
325,17nh_0438532,4
325,17nh_0438532,5
328,17nh_0466454,4
328,17nh_0466454,5
332,17nh_0488833,4
332,17nh_0488833,5
337,17nh_0523505,4
337,17nh_0523505,5
340,17nh_0530879,4
340,17nh_0530879,5
341,17nh_0533204,4
341,17nh_0533204,5
347,17nh_0538945,4
347,17nh_0538945,5
348,17nh_0544332,4
348,17nh_0544332,5
349,17nh_0547516,4
349,17nh_0547516,5
350,17nh_0550956,4
350,17nh_0550956,5
351,17nh_0562037,4
351,17nh_0562037,5
352,17nh_0565654,4
352,17nh_0565654,5
353,17nh_0590499,4
353,17nh_0590499,5
354,17nh_0593847,4
354,17nh_0593847,5
358,17nh_0620546,4
358,17nh_0620546,5
363,17nh_0648973,4
363,17nh_0648973,5
366,17nh_0700190,4
366,17nh_0700190,5
367,17nh_0704060,4
367,17nh_0704060,5
373,17nh_0799271,4
373,17nh_0799271,5
375,17nh_0817898,4
375,17nh_0817898,5
376,17nh_0819440,4
376,17nh_0819440,5
379,17nh_0834281,4
379,17nh_0834281,5
381,17nh_0855740,4
381,17nh_0855740,5
384,17nh_0881248,4
384,17nh_0881248,5
385,17nh_0901671,4
385,17nh_0901671,5
388,17nh_0918495,4
388,17nh_0918495,5
390,17nh_0920835,4
390,17nh_0920835,5
391,17nh_0959136,4
391,17nh_0959136,5
393,17nh_1000345,4
393,17nh_1000345,5
401,17nh_1092888,4
401,17nh_1092888,5
406,17nh_1136280,4
406,17nh_1136280,5
409,17nh_1136285,4
409,17nh_1136285,5
412,17nh_1152527,4
412,17nh_1152527,5
422,17nh_1314304,4
422,17nh_1314304,5
424,17nh_1316696,4
424,17nh_1316696,5
426,17nh_1342117,4
426,17nh_1342117,5
427,17nh_1348245,4
427,17nh_1348245,5
429,17nh_1383860,4
429,17nh_1383860,5
432,17nh_1402379,4
432,17nh_1402379,5
433,17nh_1435813,4
433,17nh_1435813,5
437,17nh_1497433,4
437,17nh_1497433,5
441,17nh_1557346,4
441,17nh_1557346,5
443,17nh_1584516,4
443,17nh_1584516,5
445,17nh_1600770,4
445,17nh_1600770,5
449,17nh_1639997,4
449,17nh_1639997,5
450,17nh_1681763,4
450,17nh_1681763,5
456,17nh_1700722,4
456,17nh_1700722,5
459,17nh_1726407,4
459,17nh_1726407,5
467,17nh_1783670,4
467,17nh_1783670,5
468,17nh_1789688,4
468,17nh_1789688,5
475,17nh_1877330,4
475,17nh_1877330,5
479,17nh_1933674,4
479,17nh_1933674,5
484,17nh_2010055,4
484,17nh_2010055,5
486,17nh_2078125,4
486,17nh_2078125,5
487,17nh_2078126,4
487,17nh_2078126,5
490,17nh_2096480,4
490,17nh_2096480,5
491,17nh_2117737,4
491,17nh_2117737,5
