n_friend_index,n_friend_name,n
1383,18nh_03549100,5
1393,18nh_03644536,4
1393,18nh_03644536,5
1397,18nh_03731628,4
1397,18nh_03731628,5
1401,18nh_03786327,4
1401,18nh_03786327,5
1403,18nh_03786329,4
1403,18nh_03786329,5
1415,18nh_03843531,4
1415,18nh_03843531,5
1416,18nh_03846240,4
1416,18nh_03846240,5
1417,18nh_03846241,4
1417,18nh_03846241,5
1418,18nh_03853360,4
1418,18nh_03853360,5
1419,18nh_03884601,4
1419,18nh_03884601,5
1424,18nh_03935858,4
1424,18nh_03935858,5
1426,18nh_03946211,4
1426,18nh_03946211,5
1432,18nh_04026795,4
1432,18nh_04026795,5
1437,18nh_04084933,4
1437,18nh_04084933,5
1439,18nh_04100489,4
1439,18nh_04100489,5
1443,18nh_04143632,4
1443,18nh_04143632,5
1450,18nh_04211223,4
1450,18nh_04211223,5
1451,18nh_04211224,4
1451,18nh_04211224,5
1460,18nh_04319261,4
1460,18nh_04319261,5
1462,18nh_04333618,4
1462,18nh_04333618,5
1465,18nh_04398747,4
1465,18nh_04398747,5
1467,18nh_04407163,4
1467,18nh_04407163,5
1470,18nh_04442629,4
1470,18nh_04442629,5
1473,18nh_04477958,4
1473,18nh_04477958,5
1475,18nh_04506852,4
1475,18nh_04506852,5
1478,18nh_04506858,4
1478,18nh_04506858,5
1488,18nh_04604357,4
1488,18nh_04604357,5
1489,18nh_04627379,4
1489,18nh_04627379,5
1494,18nh_04656632,4
1494,18nh_04656632,5
1495,18nh_04656633,4
1495,18nh_04656633,5
1503,18nh_04725577,4
1503,18nh_04725577,5
1505,18nh_04758096,4
1505,18nh_04758096,5
1515,18nh_04878797,4
1515,18nh_04878797,5
1516,18nh_04885883,4
1516,18nh_04885883,5
1523,18nh_04925346,4
1523,18nh_04925346,5
1524,18nh_04926634,4
1524,18nh_04926634,5
1525,18nh_04931433,4
1525,18nh_04931433,5
1528,18nh_04981566,4
1528,18nh_04981566,5
1534,18nh_05072689,4
1534,18nh_05072689,5
1538,18nh_05107952,4
1538,18nh_05107952,5
1543,18nh_05127133,4
1543,18nh_05127133,5
1544,18nh_05137439,4
1544,18nh_05137439,5
1545,18nh_05137440,4
1545,18nh_05137440,5
1550,18nh_05203883,4
1550,18nh_05203883,5
1551,18nh_05213171,4
1551,18nh_05213171,5
1555,18nh_05294396,4
1555,18nh_05294396,5
1557,18nh_05302491,4
1557,18nh_05302491,5
1568,18nh_05444694,4
1568,18nh_05444694,5
1569,18nh_05445136,4
1569,18nh_05445136,5
1574,18nh_05475618,4
1574,18nh_05475618,5
1581,18nh_05550489,4
1581,18nh_05550489,5
1586,18nh_05631974,4
1586,18nh_05631974,5
1588,18nh_05631976,4
1588,18nh_05631976,5
1589,18nh_05631977,4
1589,18nh_05631977,5
1590,18nh_05631979,4
1590,18nh_05631979,5
1591,18nh_05631980,4
1591,18nh_05631980,5
1605,18nh_05874066,4
1605,18nh_05874066,5
1606,18nh_05874067,4
1606,18nh_05874067,5
1611,18nh_05905289,4
1611,18nh_05905289,5
1618,18nh_05957310,4
1618,18nh_05957310,5
1628,18nh_06026467,4
1628,18nh_06026467,5
1629,18nh_06026468,4
1629,18nh_06026468,5
1630,18nh_06026469,4
1630,18nh_06026469,5
1631,18nh_06026470,4
1631,18nh_06026470,5
1632,18nh_06026471,4
1632,18nh_06026471,5
1633,18nh_06026472,4
1633,18nh_06026472,5
1634,18nh_06026473,4
1634,18nh_06026473,5
1635,18nh_06026474,4
1635,18nh_06026474,5
1637,18nh_06064724,4
1637,18nh_06064724,5
1639,18nh_06074419,4
1639,18nh_06074419,5
1646,18nh_06171284,4
1646,18nh_06171284,5
1651,18nh_06230378,4
1651,18nh_06230378,5
1657,18nh_06404672,4
1657,18nh_06404672,5
1662,18nh_06478043,4
1662,18nh_06478043,5
1665,18nh_06557091,4
1665,18nh_06557091,5
1668,18nh_06571715,4
1668,18nh_06571715,5
1671,18nh_06623254,4
1671,18nh_06623254,5
1672,18nh_06664035,4
1672,18nh_06664035,5
1674,18nh_06740068,4
1674,18nh_06740068,5
1675,18nh_06740069,4
1675,18nh_06740069,5
1682,18nh_06850019,4
1682,18nh_06850019,5
1683,18nh_06852752,4
1683,18nh_06852752,5
1700,18nh_07097041,4
1700,18nh_07097041,5
1701,18nh_07097042,4
1701,18nh_07097042,5
1702,18nh_07097043,4
1702,18nh_07097043,5
1705,18nh_07097047,4
1705,18nh_07097047,5
1713,18nh_07233383,4
1713,18nh_07233383,5
1715,18nh_07256879,4
1715,18nh_07256879,5
1725,18nh_07300477,4
1725,18nh_07300477,5
1729,18nh_07352050,4
1729,18nh_07352050,5
1737,18nh_07406140,4
1737,18nh_07406140,5
1738,18nh_07432140,4
1738,18nh_07432140,5
1739,18nh_07444853,4
1739,18nh_07444853,5
1741,18nh_07474202,4
1741,18nh_07474202,5
1742,18nh_07503532,4
1742,18nh_07503532,5
1743,18nh_07514091,4
1743,18nh_07514091,5
1745,18nh_07546633,4
1745,18nh_07546633,5
1748,18nh_07616730,4
1748,18nh_07616730,5
1749,18nh_07630454,4
1749,18nh_07630454,5
1750,18nh_07630821,4
1750,18nh_07630821,5
1753,18nh_07646206,4
1753,18nh_07646206,5
1756,18nh_07664340,4
1756,18nh_07664340,5
1760,18nh_07683510,4
1760,18nh_07683510,5
1764,18nh_07718851,4
1764,18nh_07718851,5
1769,18nh_07833808,4
1769,18nh_07833808,5
1777,18nh_08020886,4
1777,18nh_08020886,5
1785,18nh_08152069,4
1785,18nh_08152069,5
1793,18nh_08304229,4
1793,18nh_08304229,5
1796,18nh_08355756,4
1796,18nh_08355756,5
1799,18nh_08355761,4
1799,18nh_08355761,5
1804,18nh_08364549,4
1804,18nh_08364549,5
1809,18nh_08435339,4
1809,18nh_08435339,5
1814,18nh_08534007,4
1814,18nh_08534007,5
1819,18nh_08582880,4
1819,18nh_08582880,5
1826,18nh_08582890,4
1826,18nh_08582890,5
1843,18nh_08857608,4
1843,18nh_08857608,5
1862,18nh_09136989,4
1862,18nh_09136989,5
1863,18nh_09171263,4
1863,18nh_09171263,5
1873,18nh_09307831,4
1873,18nh_09307831,5
1874,18nh_09322745,4
1874,18nh_09322745,5
1877,18nh_09386986,4
1877,18nh_09386986,5
